timestamp,wp_index,goal_x,goal_y,current_x,current_y,current_yaw_rad,distance_error,heading_error_rad,cmd_linear_x,cmd_angular_z
3762.1146,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.1148,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.1206,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.1374,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.1541,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.1708,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.1875,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.2041,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.2208,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.2374,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.2541,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.2708,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.2874,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.3040,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.3207,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.3374,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.3541,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.3708,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.3874,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.4040,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.4207,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.4374,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.4541,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.4708,1,0.2020,-2.4710,-0.3669,-1.4261,1.9419,1.1897,-3.0141,0.0000,-0.7535
3762.4874,1,0.2020,-2.4710,-0.3669,-1.4261,1.9418,1.1897,-3.0140,0.0000,-0.7535
3762.5041,1,0.2020,-2.4710,-0.3671,-1.4262,1.9401,1.1897,-3.0121,0.0000,-0.7530
3762.5208,1,0.2020,-2.4710,-0.3673,-1.4260,1.9370,1.1900,-3.0089,0.0000,-0.7522
3762.5375,1,0.2020,-2.4710,-0.3676,-1.4264,1.9320,1.1898,-3.0036,0.0000,-0.7509
3762.5542,1,0.2020,-2.4710,-0.3679,-1.4264,1.9248,1.1900,-2.9961,0.0000,-0.7490
3762.5708,1,0.2020,-2.4710,-0.3684,-1.4263,1.9156,1.1902,-2.9867,0.0000,-0.7467
3762.5874,1,0.2020,-2.4710,-0.3688,-1.4261,1.9050,1.1906,-2.9758,0.0000,-0.7440
3762.6041,1,0.2020,-2.4710,-0.3692,-1.4262,1.8935,1.1908,-2.9640,0.0000,-0.7410
3762.6208,1,0.2020,-2.4710,-0.3695,-1.4260,1.8817,1.1911,-2.9520,0.0000,-0.7380
3762.6374,1,0.2020,-2.4710,-0.3699,-1.4257,1.8691,1.1915,-2.9393,0.0000,-0.7348
3762.6541,1,0.2020,-2.4710,-0.3700,-1.4255,1.8558,1.1917,-2.9260,0.0000,-0.7315
3762.6708,1,0.2020,-2.4710,-0.3702,-1.4250,1.8423,1.1922,-2.9125,0.0000,-0.7281
3762.6875,1,0.2020,-2.4710,-0.3703,-1.4249,1.8288,1.1924,-2.8990,0.0000,-0.7248
3762.7042,1,0.2020,-2.4710,-0.3702,-1.4243,1.8160,1.1929,-2.8865,0.0000,-0.7216
3762.7209,1,0.2020,-2.4710,-0.3705,-1.4243,1.8023,1.1930,-2.8726,0.0000,-0.7182
3762.7376,1,0.2020,-2.4710,-0.3706,-1.4241,1.7885,1.1932,-2.8587,0.0000,-0.7147
3762.7542,1,0.2020,-2.4710,-0.3707,-1.4237,1.7752,1.1937,-2.8457,0.0000,-0.7114
3762.7708,1,0.2020,-2.4710,-0.3704,-1.4233,1.7626,1.1939,-2.8334,0.0000,-0.7084
